"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"HALLMARK_G2M_CHECKPOINT",1,1,0.233862161982451,0.475062902519126,9910,200,"CHAF1A,EWSR1,PDS5B,UBE2C,NCL,HMGB3,TROAP,RBM14,POLE,SLC12A2,HMGA1,NUMA1,ODC1,JPT1,DMD,EGF,TGFB1,CDK1,CDC25B,CKS1B,CTCF,ORC6,NDC80,TMPO,SYNCRIP,UPF1,ODF2,MEIS1,TNPO2,H2AZ1,NUP98,MEIS2,BIRC5,SRSF2,NASP,DDX39A,HNRNPU,CENPF,TRA2B,CDC6,EZH2,SMARCC1,YTHDC1,ATRX,BARD1,CENPE,ORC5,SLC7A1,MCM3,PRMT5,PTTG1,KNL1,HNRNPD,E2F4,SUV39H1,CCNB2,PML,SRSF10,SMC4,STMN1,TENT4A,LMNB1,KPNB1,HIF1A,E2F3,ILF3,PBK,KIF22,SLC7A5,EXO1,KIF23,ABL1,CHEK1,PAFAH1B1,RAD23B"
"HALLMARK_GLYCOLYSIS",1,1,-0.208944595978787,-0.625974785287122,90,200,"AURKA,AK3,P4HA1,IRS2,EFNA3,CLDN3,PLOD2,CYB5A,CTH,GLRX,STC1,CHST12,AK4,UGP2,FAM162A,ALDH9A1,PGK1,CACNA1H,SLC35A3,KDELR3,HSPA5,ANG,SDC3,VCAN,IL13RA1,ANGPTL4,B4GALT4,ADORA2B,CAPN5,NANP,CENPA,CLDN9,MIOX,ALDOB,VEGFA,EXT1,PGAM1,RRAGD,EGFR,SRD5A3,LCT,SOX9,ME1,PDK3,MDH1,FUT8,PGM2,SDC2,PLOD1,EXT2,DSC2,CASP6,POLR3K,MXI1,TALDO1,MPI"
"HALLMARK_HEME_METABOLISM",1,1,-0.226046132781082,-0.67720908870497,90,200,"HBD,HBQ1,TENT5C,CLIC2,OSBP2,GLRX5,ALAS2,TFRC,TRAK2,HBB,RBM38,C3,SLC6A8,NUDT4,PDZK1IP1,BNIP3L,TYR,FBXO34,MARCHF8,SMOX,CDR2,CA1,TSPAN5,ICAM4,NNT,OPTN,MFHAS1,VEZF1,UROS,SLC66A2,TMEM9B,HAGH,BCAM,TFDP2,SLC4A1,GYPB,MARCHF2,ISCA1,DCAF10,TMCC2,HTATIP2,CLCN3,FECH,NARF,BPGM,SLC11A2,BLVRA,GDE1,EPB41,TRIM58,RHD,GATA1,RAP1GAP,KLF1"
"HALLMARK_HYPOXIA",1,1,-0.210019098480621,-0.629193875351288,90,200,"NOCT,PPARGC1A,CCN5,SDC4,SRPX,P4HA1,ACKR3,PIM1,IRS2,EFNA3,BNIP3L,TMEM45A,GLRX,PKP1,HS3ST1,ALDOC,STC1,AK4,IDS,FBP1,CSRP2,UGP2,FAM162A,PGK1,DUSP1,PLIN2,PDK1,CA12,KDELR3,NCAN,HSPA5,SDC3,DTNA,ANGPTL4,ADORA2B,B4GALNT2,ANXA2,BCAN,IGFBP1,ALDOB,VEGFA,BCL2,STBD1,EXT1,RRAGD,EFNA1,EGFR"
"HALLMARK_IL2_STAT5_SIGNALING",1,1,-0.2652402854262,-0.788543758815149,84,199,"HOPX,EMP1,P4HA1,CISH,MAP6,PIM1,PNP,SOCS1,IKZF4,GBP4,AHR,ADAM19,PRAF2,NCOA3,CD48,CD86,EOMES,SMPDL3A,ITGAV,TNFRSF8,CDC42SE2,TNFSF10,IRF4,TRAF1,MAPKAPK2,TWSG1,PLIN2,CCR4,SLC29A2,GADD45B,AMACR,LRIG1,BATF,TIAM1,ECM1,SERPINC1,ITGAE,BCL2,GPR65,SELL,CSF2,PDCD2L,RRAGD,TNFRSF1B,CSF1,GUCY1B1,MXD1,GATA1,MAP3K8,IL2RB,WLS,SHE,IL1RL1,PRKCH,GLIPR2,FGL2"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1,1,-0.171023725185669,-0.468633699507877,466,97,"SAMD9,GBP4,ADAR,RTP4,SAMD9L,CASP8,IRF1,CD74,IFIT2,LGALS3BP,GMPR,DHX58,IFI44L,IRF7,EIF2AK2,LY6E,NMI,SELL,IFI35,CSF1,IL15,BATF2,USP18,SP110,OASL"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1,1,-0.256495870279241,-0.768433117750422,90,200,"SOCS3,VAMP5,VCAM1,CCL2,PIM1,SSPN,PNP,SOCS1,PTGS2,GBP4,PSMB10,ADAR,RTP4,NCOA3,SAMD9L,CD86,CASP8,ISOC1,TNFSF10,IRF4,HLA-G,IRF1,CD74,SPPL2A,HLA-DQA1,APOL6,CD40,OAS2,HLA-DMA,IFIT1,TNFAIP2,IFIT2,GCH1,NLRC5,LGALS3BP,DHX58,SECTM1,IFI44L,IRF7,PLA2G4A,CFB,EIF2AK2,LY6E,NMI,ZBP1,CIITA,JAK2,SLAMF7,IFI35,FAS,BPGM,IL15,BATF2,IL2RB,OAS3,USP18,SP110,FGL2,NOD1,OASL,SAMHD1,TOR1B,IRF5,LYSMD2,IL6,SOD2,TDRD7"
"HALLMARK_KRAS_SIGNALING_UP",1,1,-0.26211508155182,-0.78526765014576,90,200,"HSD11B1,GFPT2,MAFB,EMP1,TRIB1,INHBA,PTPRR,ETV5,CLEC4A,KLF4,PTCD2,PTGS2,SEMA3B,TSPAN13,GLRX,TPH1,PLAT,ADAM17,PLEK2,SCG3,TRAF1,NR0B2,EREG,TSPAN7,ANKH,IL1RL2,MALL,ZNF639,ANGPTL4,CROT,SCG5,H2BC3,HBEGF,CFB,NAP1L2,CSF2,CCL20,PRELID3B,GNG11,TNFRSF1B,TOR1AIP2,LAPTM5,BPGM,ITGB2,PRDM1,FLT4,FUCA1,ADGRA2,SOX9,GABRA3,ADAMDEC1,SNAP91,SATB1,CBR4,TLR8,ZNF277,USP12,HDAC9,ITGBL1,CSF2RA,PLVAP,LIF,SDCCAG8,VWA5A,PLAU,ANXA10,BIRC3,AKAP12,BTBD3,ANO1,PDCD1LG2,DUSP6,ETS1,CAB39L,LAT2,F2RL1"
"HALLMARK_MITOTIC_SPINDLE",1,1,0.191412267164571,0.388819298561481,9915,198,"NET1,DST,TUBGCP3,CDC42,CTTN,NUMA1,PIF1,CLIP1,MYH9,YWHAE,RICTOR,TAOK2,DYNC1H1,HOOK3,VCL,CDK1,PXN,ARHGEF11,CDC42EP1,NDC80,SUN2,BIRC5,RASA1,PLEKHG2,MAP3K11,TRIO,STAU1,CD2AP,SOS1,ANLN,ARHGDIA,CENPF,ABI1,STK38L,FSCN1,CNTROB,SHROOM1,PREX1,SSH2,RHOT2,TLK1,CENPE,TUBA4A,ALMS1,ARHGEF2,RANBP9,ALS2,ARFIP2,PDLIM5,CCNB2,FLNB,SMC4,LMNB1,NCK2,MID1IP1,BCL2L11,NIN,KIF22,KIF23,ABL1,ATG4B,PAFAH1B1,CAPZB,SPTAN1,ARF6,ARHGAP4,ARL8A,DLGAP5,NOTCH2,KLC1,WASF2,KIFAP3,BUB1,LLGL1,KIF3B,TTK,RHOF,CDK5RAP2,CLIP2,SEPTIN9,KNTC1,RASA2,TUBGCP6,MYO1E,MAP1S,ROCK1"
"HALLMARK_MTORC1_SIGNALING",1,1,0.23993528410702,0.487399720922727,9910,200,"CDKN1A,DDIT4,SLC1A5,TRIB3,IFI30,TBK1,ASNS,SCD,NUPR1,NUFIP1,SLC2A3,PSAT1,GSR,GPI,PSMC4,IGFBP5,BTG2,GSK3B,INSIG1,PPIA,MAP2K3,MLLT11,HSPA4,NFIL3,SHMT2,ALDOA,PDAP1,PSMD14,GCLC,CANX,ATP5MC1,RIT1,GBE1,DDX39A,GAPDH,PSMC2,GMPS,PSMC6,TUBG1,STIP1,IFRD1,NFKBIB,LDLR,CCT6A,TUBA4A,SLC2A1,MTHFD2,PSMA3,QDPR,SLC6A6,NMT1,PRDX1,TOMM40,CD9,CACYBP,SLC7A5,RAB1A,VLDLR,PSMD12,SQSTM1,RRM2,PSMD13"
"HALLMARK_MYOGENESIS",1,1,0.195671870319002,0.397483910467169,9910,200,"CDKN1A,MYH8,MYF6,HRC,SCD,MYOG,SH3BGR,SPARC,APP,ERBB3,FST,PC,CFD,MAPRE3,KLF5,PSEN2,RYR1,DMPK,COL3A1,LPIN1,MYH9,PTP4A3,DMD,AEBP1,TGFB1,TPM2,WWTR1,ITGB4,MEF2C,FLII,NQO1,AGRN,SORBS3,MYH4,CHRNG,IGF1,TNNT2,APOD,RIT1,MEF2A,ACTC1,SGCA,MYLK,TSC2,MYH11,CAMK2B,CHRNB1,CRAT,ITGA7,PPFIA4,MYH1,IFRD1,NOS1,MYOM2,IGFBP3,PYGM,LARGE1,TNNT1,PDLIM7,TEAD4,GPX3,HSPB8,SVIL,CKB,PICK1,TNNC2,TPD52L1,ACSL1,EFS,MYO1C,EPHB3,CHRNA1,COL15A1,SPTAN1,ENO3,ATP2A1,RB1,TNNT3,BHLHE40,MYOZ1"
