"gene","log2FC"
"AIDAP2",2.35851985364133
"HIST1H3F",2.35434322647157
"RNF32-AS1",2.35381601093101
"RP13-582O9.5",2.35297954290356
"LPPR1",2.35270395362184
"TP53TG3D",2.35080103205851
"AC005754.7",2.34738266034989
"C9orf173",2.3470643097265
"RP11-97O12.7",2.34690889422576
"AP000253.1",2.34588945548478
"IGKV1D-8",2.34498693484735
"5S_rRNA_4",2.34472731580691
"MTRNR2L11",2.34100713257044
"AP000347.2",2.3397313874772
"NLRP7",2.33865970129487
"AP000295.9",2.33811288652303
"SPEM2",2.33799581074678
"CTD-2555K7.4",2.33264355059035
"AC013271.3",2.33167604771477
"RP11-89K11.1",2.32909266419674
"AP001056.1",2.32901924965334
"CTC-301O7.4",2.32624764696534
"NSFP1",2.32575415579792
"DEFA9P",2.32440050200881
"RP11-305E17.6",2.32237424051663
"RP11-118B18.1",2.31238310870197
"CTB-131B5.5",2.30982526718424
"RP11-566K19.6",2.30665317087708
"RP11-863K10.7",2.30568507620748
"CTC-432M15.3",2.30456359078472
"KIAA1324L",2.30266904862704
"ERCC6-PGBD3",2.30237608574916
"RP11-888D10.3",2.29873558497418
"CTD-2319I12.1",2.29868880939605
"CTD-2184C24.2",2.29834930830009
"STK24-AS1",2.29779294597599
"RP11-696N14.1",2.29539486189993
"RP11-624L4.1",2.29521615723847
"AC068831.10",2.2951496841892
"RP11-340I6.8",2.29391856579365
"AL158091.1",2.29183635043566
"CTA-215D11.4",2.28608262576292
"AC108488.4",2.28218207260427
"PNLIPRP3",2.28118588494882
"RASA4DP",2.2803156104153
"FAM150A",2.27562371003384
"ALS2CR11",2.27550021859388
"AC068138.1",2.27355068629656
"AC005487.2",2.27084658604665
"AKR1C7P",2.27003875443793
"RP11-846F4.12",2.26909239085756
"LOC100533708",2.2690103945738
"CTB-131K11.1",2.26813806044991
"LINC00441",2.26637371207039
"RP1-90L6.2",2.26632006803034
"C2orf44",2.2562482511119
"C10orf10",2.25516215902803
"AL359878.1",2.25204032576944
"RP11-265P11.1",2.25074069072619
"TRBV7-5",2.24990710291955
"RTL1",2.24686817279685
"CASP12",2.24563352331611
"RP11-439A17.7",2.24553897141571
"RP11-248J23.7",2.2431953462804
"AC011330.5",2.24244702837096
"RP11-360F5.3",2.23993542229889
"RP11-370K11.1",2.23728053801862
"CTC-398G3.6",2.23577245474407
"MORF4L2-AS1",2.23391179873952
"AC113189.5",2.23159500284339
"MAMDC2-AS1",2.23144986150002
"FAM132A",2.22923680244581
"RP11-770J1.4",2.2281845291642
"AP1B1P1",2.22528608854651
"FOXD4L5",2.22429259091507
"DYX1C1-CCPG1",2.2228059767013
"UNC93B2",2.22191001335679
"PODNL1",2.22170787612491
"LINC00338",2.21842060242702
"PMS2P2",2.21694227211668
"RP11-529K1.3",2.21642295522917
"PCDHA2",2.21395807372897
"LOC105376306",2.21383831019355
"C10orf35",2.21370395851617
"ALMS1P",2.21087002302974
"NTMT2",2.20877740634317
"RP11-15A1.3",2.20718522442269
